burst_id,mjd_topo,snr
B01271,60376.10525851,42.3
B01273,60376.10525957,37.1
B01274,60376.10563774,80.2
B01276,60376.10595752,335.8
B01278,60376.10624394,224.9
B01279,60376.10627596,49
B01281,60376.10632172,165.8
B01282,60376.10632313,443.9
B01283,60376.10632328,39.7
B01284,60376.10635915,47.2
B01285,60376.10644324,50
B01287,60376.10698674,380.5
B01290,60376.10724348,44.4
B01292,60376.10747857,27.1
B01293,60376.1076403,127.7
B01295,60376.10781009,161
B01300,60376.10820882,147.7
B01301,60376.10840511,62.2
B01303,60376.10890013,66
B01306,60376.10899198,57.7
B01308,60376.10914672,101.9
B01312,60376.10927765,134.4
B01315,60376.10935464,89.7
B01318,60376.10936756,56.4
B01321,60376.1094011,28
B01322,60376.10946375,283.2
B01326,60376.11017216,158.8
B01327,60376.1103305,74.1
B01329,60376.11094909,29.1
B01330,60376.11095336,56.5
B01332,60376.11112069,198.9
B01334,60376.11126587,84.9
B01342,60376.11178375,20.3
B01344,60376.11182352,23.1
B01346,60376.11218807,263.9
B01353,60376.1122895,78.6
B01354,60376.11237971,25.8
B01356,60376.11251906,113.5
B01357,60376.11255791,163.6
B01359,60376.11265322,70.2
B01362,60376.11281792,161.4
B01363,60376.11282432,69.8
B01365,60376.11294928,80.4
B01366,60376.1129618,23.3
B01369,60376.11321015,55.1
B01370,60376.11346357,72.3
B01374,60376.11394144,3259.7
B01375,60376.11403213,36
B01379,60376.11421688,26.9
B01380,60376.11425149,71.6
B01382,60376.11434421,26.5
B01386,60376.11443939,135.3
B01388,60376.11454236,230
B01392,60376.11473991,26.8
B01393,60376.11495823,55.7
B01394,60376.11502529,95.5
B01400,60376.11525853,29.9
B01403,60376.11572042,445.6
B01405,60376.11589547,307
B01406,60376.11613347,78.8
B01407,60376.11617177,92.2
B01408,60376.11619203,111.1
B01409,60376.11633766,30.6
B01413,60376.11685621,148.8
B01414,60376.11687452,46.4
B01419,60376.11706941,67.4
B01420,60376.11722387,37.3
B01421,60376.11738804,34.1
B01422,60376.11752661,28.1
B01424,60376.11779028,22.4
B01425,60376.11782573,93.7
B01430,60376.11808919,296.4
B01431,60376.11809045,53.6
B01436,60376.11867805,27.7
B01437,60376.11873833,24.1
B01440,60376.11898943,56.2
B01444,60376.11954212,20.6
B01447,60376.11975706,22.8
B01448,60376.11977075,34
B01449,60376.11983785,24.9
B01454,60376.11992846,454.7
B01456,60376.12042316,50.3
B01457,60376.1204648,24.6
B01458,60376.12049438,67.6
B01459,60376.12049445,124.9
B01461,60376.12052116,162.7
B01469,60376.12120916,111.3
B01470,60376.12130483,169.9
B01472,60376.12144814,63.2
B01476,60376.1216412,495.6
B01477,60376.12164141,86.2
B01480,60376.12166174,287
B01482,60376.12205156,26.9
B01483,60376.12208149,22.4
B01487,60376.12213683,158.8
B01488,60376.12218715,106.8
B01489,60376.12228787,86.1
B01490,60376.12267251,45.7
B01491,60376.12267531,31.4
B01492,60376.12293394,49
B01493,60376.12301473,39.8
B01494,60376.12305492,29.8
